" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
"Get out of my face, you walking garbage can!","Sal de mi vista, ¡vieja verde!"
"Get the intruder!","¡A por la intrusa!"
"Gifted","Capacitada"
"Glow Baby Loser! Glow Baby Loser!","¡Arde, pequeña perdedora! ¡Arde, pequeña perdedora!"
"Go away, you maniac.","Lárgate, lunática."
"Going? I believe... let me check... Why, yes, I almost laughed! How wonderfully humorous. The only place you're going is the Vat. But first, you'll tell me where your Vault is.","¿Irte? Espera... creo que... sí, vaya, ¡casi me río! Qué deliciosamente humorística. El único sitio al que vas a ir es al Tanque. Pero antes me vas a decir dónde está tu Refugio."
"Good as new.","Estás como nueva."
"Good day, Initiate.","Buenos días, Iniciada."
"Good day, Initiate. How may I help you?","Buenos días, Iniciada. ¿Puedo ayudarte?"
"Good day, my child. You look well. You remind me of my own baby.","Buenos días, hija. Te ves bien. Me recuerdas a mi propia niña."
"Good day, traveler. Do you need something?","Buenos días, viajera. ¿Necesitas algo?"
"Good journeys, wanderer.","Buen viaje, vagabunda."
"Good night Initiate, talk to me in the morning. It can't be that urgent.","Buenas noches Iniciada, ven a verme por la mañana. No puede ser tan urgente."
"Good to meet you. Bye.","Encantada de conocerte. Adiós."
"Good you asked. No weapons can be drawn except in self-defense. If you start a fight, it's your fault. Other than that, it's your right to go around armed. Just don't pull a knife or gun without just cause. Have a good day.","Está bien que hayas preguntado. No se pueden desenfundar las armas si no es en defensa propia. Si empiezas una pelea, será culpa tuya. Otra cosa distinta es que vayas por ahí armada. No saques ni un cuchillo ni una pistola sin un motivo real. Que tengas un buen día."
"Good. Then we can leave each other alone and call it even.","Bien. Entonces podemos dejarnos en paz la una a la otra y ya está."
"Got all your gear? We're going out today.","¿Ya estás equipada? Partimos hoy."
"Got any brahma burgers?","¿Tienes alguna hamburguesa de Brahmin?"
"Great, another idiot. You sound like a Ripper.","Genial, otra idiota. Suenas como una Destripadora."
"Great. I'm busy, and I get a moron tailing me. Go look for Jake if you need someone to talk to.","Genial. Estoy ocupado, y tengo una idiota tocándome las narices. Ve a buscar a Jake si necesitas a alguien con quien hablar."
"Greetings Initiate.","Saludos, Iniciada."
"Greetings Initiate. How may I be of service to you?","Saludos, Iniciada. ¿En qué puedo ayudarte?"
"Greetings again, young wanderer. I hope your stay here has been pleasant.","Saludos de nuevo, joven moradora. Espero que tu estancia aquí haya sido de tu agrado."
"Greetings traveler. We have heard tales of one who traverses the Wasteland. How might we be of service to you today?","Saludos viajera. Hemos escuchado historias de aquella que viaja por el Yermo. ¿Cómo podríamos serte de ayuda hoy?"
"Greetings, Initiate.","Saludos, Iniciada."
"Greetings, Initiate. I need to speak with you. (He motions for you to come closer.)","Saludos, Iniciada. Necesito hablar contigo (te indica que te acerques más)."
"Greetings, and welcome to the Brotherhood of Steel.","Saludos, bienvenida a la Hermandad del Acero."
"Greetings, my fellow Child. How can I help you?","Saludos a ti hermana. ¿En qué puedo ayudarte?"
"Greetings, stranger.","Saludos, forastera."
"Greetings, traveler. What brings you out this far?","Saludos, viajera. ¿Qué te trae por aquí?"
"Greetings, wanderer. Please do not be offended if the gentlefolk about seem rude. As Dharma said, 'Tough times tan the human hide.' Your business in Shady Sands might be?","Saludos, moradora. Por favor, no te ofendas si la gente de por aquí parece algo inculta. Como dijo Dharma, ""Los tiempos difíciles curten la piel del hombre."" ¿Estás de negocios en Arenas Sombrías?"
"Guards! Police! There's a madman trying to kill me!","¡Guardias! ¡Policía! ¡Una loca está intentando matarme!"
"Guards! Seize the norm!","¡Guardias! ¡Capturad a la normal!"
"Guess I'm not too sure about this.","Creo que no estoy muy segura de esto."
"Ha! I like your style. A little sloppy, but it works. Consider yourself a friend of the Khans. Leave my sight now.","¡Ja! Me gusta tu estilo. Un poco chapucero, pero funciona. Considérate una amiga de los Khans. Sal de mi vista ahora."
"Ha, I thought you were a coward! Well... if you brave'n up, stop by and I might still give you a job. We leave on the 3rd and 17th, you can just show up that day if you like. We can always use more guns.","¡Ja, sabía que eras una cobarde! Bueno... si eres lo suficientemente valiente, pásate por aquí y puede que tenga un trabajo para ti. Partimos los días 3 y 17. Puedes presentarte ese mismo día. Siempre es bueno tener ayuda."
"Hail, Initiate! I hope your patrols have fared well.","¡Hola, Iniciada! Espero que les vaya bien a tus tropas."
"Halt! These lands belong to the Brotherhood of Steel. Leave now, or we will shoot you as a trespasser.","¡Para! Estas tierras pertenecen a la Hermandad del Acero. Vete ahora o te dispararemos como a un traidora."
"Halt! What is your business here, ""child"".","¡Para! ¿Qué haces aquí, ""niña""?"
"Have a good suicide, friend. And for what it's worth, good luck.","Suicídate tú sola, amiga. Y, si te sirve de algo, buena suerte."
"Have it your way. Cougar, Flash. Show our 'patient' to the lab.","Recibirás lo que mereces. Cougar, Flash, enseñadle a nuestra ""paciente"" el laboratorio."
"Have you studied the sacraments, child?","¿Has estudiado los sacramentos, hija?"
"He was our guide to the life-giving virus, and he is Father to us all. And he so wants to meet you. I hope you're honored.","Él fue nuestro guía hacia el virus de la vida y es el Padre de todos nosotros. También quiere reunirse contigo. Espero que te sientas honrada."
"He won't be. He'll get worse. But if you're smart, make yourself his favorite and he'll let you torture the new kids that come in.","No. La cosa irá a peor. Pero si eres lista, puedes convertirte en uno de sus recomendados y te dejará torturar a los chicos nuevos que lleguen."
"Healer","Sanadora"
"Hell, I don't hire drug addicts! If you want a job, you better sober up!","Demonios, ¡no contrato a drogadictas asquerosas! ¡Si quieres un trabajo será mejor que se te pase el colocón!"
"Hell, why not. Ask away, friend.","¡Qué diablos, por qué no! Pregunta, amiga."
"Hello Initiate, everything is secure.","Hola, Iniciada, todo está seguro."
"Hello Initiate. I'm Larry, how may I help you?","Hola, Iniciada. Soy Larry, ¿en qué puedo ayudarte?"
"Hello Initiate; everything is secure.","Hola, Iniciada. Todo está asegurado."
"Hello again Initiate. How can I help you?","Hola de nuevo, Iniciada. ¿Puedo ayudarte?"
"Hello again, Initiate ","Hola de nuevo, Iniciada "
"Hello and welcome to the Brotherhood of Steel. May I ask your business here?","Hola y bienvenida a la Hermandad del Acero. ¿Puedo preguntarte qué haces aquí?"
"Hello and welcome to the Far Go Traders. How may we help you?","Hola y bienvenida a los Comerciantes de Ultramar. ¿En qué podemos ayudarte?"
"Hello friend! I'm so glad to see you've joined our cause! ","¡Hola, amiga! ¡Me alegra mucho saber que te has unido a nuestra causa! "
"Hello friend! Will you sing a song of praise with me? ...Once I was wandering blind, In a land that was so unkind...","¡Hola amiga! ¿Cantarás una alabanza conmigo?... Yo antes deambulaba sin rumbo por una tierra cruel y vil..."
"Hello friend. It is good to see you. Put down your weapon, you are among friends here! ","Hola, amiga. Me alegro de verte. ¡Baja el arma, aquí estás entre amigos! "
"Hello my child. Why do you hold a weapon? Perhaps you need instruction in the ways of peace? ","Hola, hija mía. ¿Por qué llevas un arma? ¿Necesitas unas enseñanzas para una vida de paz? "
"Hello stranger! I heard you're the one to thank for the safe return of my missing Initiate.","¡Hola forastera! Por lo visto el Iniciado desaparecido ha regresado sano y salvo gracias a ti."
"Hello stranger. Forgive me, but you should not draw your weapon in the Cathedral. ","Hola, extraña. Perdona, pero no deberías desenfundar tu arma en la Catedral. "
"Hello stranger. If you have come here to be redeemed, you are welcome here, but I would suggest you put away your weapon. ","Hola, extraña. Si has venido para ser redimida, eres bienvenida. Pero te sugeriría que apartaras el arma."
"Hello stranger. May I help you? ","Hola, extraña. ¿Puedo ayudarte? "
"Hello stranger. You shouldn't be out here. There's only death out here!","Hola forastera. No deberías estar aquí fuera. ¡Solo encontrarás muerte!"
"Hello, Initiate. So, you are the one who made it out of the Ancient Order alive.","Hola, Iniciada. Así que tú eres la que ha salido de la Orden Antigua con vida."
"Hello, friend. Deputy Tony Fry at your service.","Hola, amiga. Ayudante Tony Fry a tu servicio."
"Hello, old friend. Time to die.","Hola, vieja amiga. Hora de morir"
"Hello, stranger! What can I do for you today?","¡Hola, forastera! ¿Qué puedo hacer por ti?"
"Hello, stranger. I'd recommend that you keep on moving, if you know what's good for you.","Hola, forastera. Te aconsejo que no te quedes quieta, si sabes lo que te conviene."
"Hello, stranger. May I be of service?","Hola, forastera. ¿Puedo ayudarte en algo?"
"Hello, stranger. What brings you out in the wastes? Where are you from?","Hola, extranjera. ¿Qué haces en el yermo? ¿De dónde vienes?"
"Hello, stranger. You look like you're new here. What's your name?","Hola, forastera. Parece que eres nueva aquí. ¿Cómo te llamas?"
"Hello, you must be the outsider Initiate. Nice to meet you. What can I do for you?","Hola, tú debes ser el Iniciada forastera. Encantado de conocerte. ¿Qué puedo hacer por ti?"
"Hello, youngster. Cabbot said you wanted to talk. Look I'm uh... I'm pretty stacked up right now, so I'll uh... I'll help you out as long as you don't start flappin' your gums too much. You know, outsiders are like that, always jawin'... Hehehe. Kinda like me, huh?","Hola, adolescente. Cabbot dijo que querías hablar. Mira, estoy... bastante liado ahora mismo, así es que, eh... te ayudaré con tal de que no empieces a darle mucho al pico. Ya sabes, las forasteras siempre son así, parlotean todo el rato... Ja, ja, ja. Un poco como yo, ¿eh?"
"Hello. I've been evolved by the FEV so that anyone that annoys me dies. Stop annoying me, little man.","Hola. Debido al VEF he cambiado y los que me cabrean mueren. No me cabrees, pequeña idiota."
"Hello. You must be the stranger everyone is talking about. *sigh* How can I help you?","Hola. Debes de ser la extranjera del que todos hablan. [Agatha suspira.] ¿Cómo puedo ayudarte?"
"Here, take this for the trouble, it's the least I can do. (He hands you 200 caps.)","Aquí tienes, toma esto por las molestias, es lo menos que puedo hacer. (Te entrega 200 chapas)"
"Hero of the Desert.","Heroína del Desierto."
"Hero of the Glowing Lands.","Heroína de las Tierras Resplandecientes."
"Hero of the Wastes.","Heroína del Yermo."
"Hey Initiate. You should train to be a Scribe, if you haven't decided yet.","Eh, Iniciada. Deberías intentar ser un escriba si no lo has decidido todavía."
"Hey Pops, looks like we've got a thief here! What do you have to say for yourself, you scum?","¡Eh Pops, parece que tenemos una ladrona aquí! ¿Qué tienes que decir en tu defensa, necia?"
"Hey buddy, can you spare some change?","Eh, tía, ¿tienes algo de cambio?"
"Hey! Don't think you're going to get away with that, thief!","¡Eh! No pensarás irte con eso, ¡ladrona!"
